year	record	artist	gender	lyrics
1970	"Love Theme from Romeo and Juliet"	Henry Mancini	Male	- "Lifes A Scream / There's Only This" Al Caiola And His Orchestra - "The Magnificent Seven" Alias - Contraband Amant - "If There's Love" / "Hazy Shades of Love" America - "A Horse With No Name" Andrew Gold - "Lonely Boy" Andy Gibb - Shadow Dancing Andy Williams - Love Theme From "The Godfather" Dvořák, Rochester Philharmonic Orchestra, José Iturbi - Symphony No. , In E Minor Arthur Laurents, Leonard Bernstein, Stephen Sondheim, Jerome Robbins - West Side Story Average White Band - "Pick Up the Pieces" Bachman-Turner Overdrive - Bachman-Turner Overdrive II The Band - The Band Barbara Carroll - Barbara Carroll Barbra Streisand - A Christmas Album Barry Ryan - "Can't Let You Go" Barry White - Let the Music Play The Beach Boys - Concert - "Help Me Rhonda" - Pet Sounds - Wild Honey The Beatles - Meet the Beatles! - A Hard Day's Night - Rubber Soul - Revolver - "Yesterday"...And Today - Sgt. Pepper's Lonely Hearts Club Band - "Hello Goodbye" - The Beatles - The Beatles - Abbey Road - Abbey Road - "Hey Jude" - "You Know My Name (Look Up the Number)" Bell & James - "LIVIN' IT UP (Friday Night)" Bill Cosby - Why is There Air? Billy Joel - Greatest Hits Volume I & Volume II Billy Squier - Emotions in Motion B.J. Thomas - "Hooked on a Feeling" Black Ice - Black Ice Blondie - "Heart of Glass" Bob Conrad - "Ballin' the Jack" Bobby Darin - "You Must Have Been A Beautiful Baby" / "Sorrow Tomorrow" Bob Dylan - Bringing it All Back Home - Blonde on Blonde - Bob Dylan's Greatest Hits - Blood on the Tracks Bob James - Three Bob Seger | Bob Seger & The Silver Bullet Band - Night Moves - Stranger in Town Brainstorm - Journey to the Light Brenda & The Tabulations - "Super Star / Everybody's Fool" Brian Eno - Another Green World Brooklyn Dreams - "Street Man" The Brothers Johnson - Right on Time - "Stomp!" - Blast! Bruce Springsteen - Born to Run - Nebraska - Born In the U.S.A. Buffalo Springfield - "For What it's Worth" Cameo - "Post Mortem / Good Times" Carole King - Tapestry - Tapestry Carpenters - Close to You - Ticket to Ride The Cars - The Cars Cass "Mama Cass" Elliott - Bubble Gum, Lemonade &... Something For Mama Cat Stevens - Numbers César Franck - "Symphony In D Minor Part Elven / Symphony In D Minor Part Twelve" - Symphony In D Minor Vol.  Cher - "Take Me Home" Chris Rush - First Rush The Clash - Combat Rock Classics IV - "Traces / Mary, Mary Row Your Boat" Claude Debussy - Afternoon Of A Faun / Clouds / Festivals Cory Daye - "Pow Wow / Green Light" Creedence Clearwater Revival - Creedence Clearwater Revival - Bayou Country - Green River - "Green River" - Cosmo's Factory The Crickets - The "Chirping" Crickets Crown Heights Affair - "(Do it) The French Way" Cyndi Lauper - "Time After Time" David Bowie - Low - Tonight Deborah Washington - Any Way You Want It Diana Ross - Diana - Silk Electric Dire Straits - Dire Straits The Disneyland Children's Sing-Along Chorus - "It's A Small World" Dolly Parton - " to " Don McLean - American Pie Donna Summer - Bad Girls Donovan - "Superman Sunshine" The Doors - The Doors - The Doors - Strange Days - "Hello, I Love You" - "Hello, I Love You" - L.A. Woman - L.A. Woman Duran Duran - Duran Duran - Rio - Arena | Recorded Around The World  - "Save A Prayer" Dynasty - "I Don't Want to Be A Freak (But I Can't Help Myself)" Eagles - Eagles - "Hotel California / New Kid In Town" Earth, Wind & Fire - "Let's Groove" Eddie Fisher - "I'm in the Mood for Love" Egon Petri - Concerto No.  In B Flat Minor (For Piano And Orchestra) El Coco - "Just Be You" Elkie Brooks - "Nights in White Satin" Elvis Costello & The Attractions - This Year's Model Eric Clapton - Slowhand - Backless - Another Ticket Esquire - Esquire Ferrante & Teicher - "Exodus" / "Twilight" - "Theme From The Apartment" Flatt & Scruggs - "Theme From Bonnie & Clyde" / "My Cabin In Caroline" Fleetwood Mac - "Gypsy" Foreigner -  The Foundations - "Build Me Up Buttercup" Frank Ocean - Blonde French Link Springs Hotel Orchestra - Monon Centennial Music Funkadelic - Funkadelic - One Nation Under A Groove G.Q. - "Disco Nights (Rock-Freak)" / "Boogie Oogie Oogie" The Gap Band - "You Dropped A Bomb On Me" George Gershwin -  An American In Paris Giorgio Moroder - Music From "Battlestar Galactica" and Other Original Compositions From Giorgio Moroder Giuliano and His Orchestra - A Touch Of Italy Glenn Gould - Bach: The Goldberg Variations () Gloria Gaynor - "I Will Survive" Grand Funk Railroad - Live Album - Survival The Grateful Dead - American Beauty - American Beauty Guns N' Roses - Appetite for Destruction Harold Melvin & The Blue Notes featuring Theodore Pendergrass - To Be True Heart - Magazine Henry Mancini - "Love Theme From Romeo & Juliet / The Windmills Of Your Mind" Herman's Hermits - "There's A Kind Of Hush (All Over The World)" Holme - "Garden State Parkway Boogie" The Human League - "Don't You Want Me (Special Extended Dance Mix) / Love Action (I Believe In Love)" Impact - "Rainy Days, Stormy Nights / Carry Me Back" The Incredible String Band - Liquid Acrobat as Regards the Air It's A Beautiful Day - ...Today James Swittel - Hymns to the Sacred Heart of Jesus Janet Jackson - Janet Jackson Janis Ian - "Society's Child (Baby I've Been Thinking)" Janis Joplin - Pearl Jefferson Airplane - The Worst Of Jefferson Airplane Jeffrey Osborne - Jeffrey Osborne Jethro Tull - Stand Up Jimmy Buffett - "Margaritaville" The Jimi Hendrix Experience - Axis: Bold As Love Jimmy Boyd - "I Saw Mommy Kissing Santa Claus / Thumbelina" Joachim Ngoi - "Missa Luba" Joe Walsh - "But Seriously, Folks..." John Cale - Paris  John F. Kennedy - A Memorial Album John Lennon - John Lennon / Plastic Ono Band - Imagine John Sebastian - "The Four of Us" Joni Mitchell - Blue - Court and Spark - The Hissing Of Summer Lawns The Juan Maclean - "Dance With Me" Joy Division - Closer Karen Young - "Hot Shot" Kenny Logins - "Danger Zone" The Kinks - "All Day And All Of The Night" KISS - Alive! - Ace Frehley Kool & The Gang - "Celebration" Kraftwerk - Trans-Europe Express Le Pamplemousse - "Le Spank" Led Zeppelin - Led Zeppelin - "Whole Lotta Love" - * - Physical Graffiti Long Sound Drifters - "We're All Gettin' Higher Down In New Orleans / I Can't Seem To Forget You" The Look UK - The Look UK Lou Rawls - When You Hear Lou, You've Heard It All Lou Reed - Rock N Roll Animal - Street Hassle Ludwig van Beethoven - Symphony No.  In E Flat "Eroica" Love - Love Lynyrd Skynyrd - "Sweet Home Alabama" M - "Pop Muzik" Madonna - Madonna - "Papa Don't Preach" The Mamas & The Papas - "California Dreamin'" Mario Lanza - Mario Lanza Sings The Hit Songs From The Student Prince - "Be My Love" / "I'll Never Love You" - The Toast Of New Orleans - "Arrivederci Roma" / "Younger Than Springtime" Mark Dinning - "Teen Angel" / "Bye Now Baby" Men At Work - Business As Usual Michael Jackson - Off the Wall Mitch Ryder And The Detroit Wheels - "Too Many Fish In The Sea & Three Little Fishies / One Grain Of Sand" Mobb Deep - "Survival of the Fittest" The Monkees - More of the Monkees The Moody Blues - "Tuesday Afternoon (Forever Afternoon)" - Days Of Future Passed Neil Young | Neil Young and Crazy Horse - Everybody Knows This Is Nowhere - After the Gold Rush - After the Gold Rush - Harvest - Rust Never Sleeps New Order - "Confusion" Nina Simone - In Concert - The High Priestess Of Soul Nirvana - Nevermind Norma Jean - "Saturday" Patti Smith - Horses Pink Floyd - Meddle - Dark Side of the Moon - Animals Pointer Sisters - "He's So Shy" The Police - Regatta de Blanc - "De Do Do Do, De Da Da Da" - Zenyatta Mondatta - "Every Breath You Take" - Synchronicity Prince | Prince & The Revolution - Dirty Mind -  - Purple Rain - Sign O' the Times - Around the World In A Day - "If I Was Your Girlfriend" Pyotr Tchaikovsky - Nutcracker Suite, Op. a - "The Swan Lake" Ballet Suite. Op.  / "The Sleeping Beauty"- Ballet Suite, Op.  R.E.M. - Reckoning Rhythm Heritage - Sky's the Limit Richard Harris - "Mac Arthur Park" Rick Springfield - Working Class Dog Rickie Lee Jones - Rickie Lee Jones Ringo Starr - Ringo Roberta Flack - "Killing Me Softly With His Kindness" The Roches - Another World Rod Stewart - Blondes Have More Fun Roger Daltrey - Daltrey - One of the Boys Roger McGuinn - Thunderbyrd The Rolling Stones - Out of Our Heads - Got Live if You Want It! - Flowers - Their Satanic Majesties Request - Through the Past, Darkly - Let it Bleed - Get Yer Ya-Ya's Out! - The Rolling Stones In Concert - Sticky Fingers - Exile On Main St. - Goats Head Soup - Black And Blue -  Greatest Hits - Love You Live - Some Girls - Emotional Rescue - Still Life (American Concert ) - Undercover - Dirty Work The Romantics - In Heat The Routers - "LET'S GO (pony)" The Royal Guardsmen - "Snoopy Vs. The Red Baron" Sammy Hagar - "I Can't Drive " Santana - Inner Secrets Sex Pistols - Never Mind The Bollocks Here's The Sex Pistols Shotgun - Good, Bad & Funky Simon & Garfunkel - Wednesday Morning,  A.M. - "Mrs. Robinson" - "Bridge Over Troubled Water" - Bridge Over Troubled Water Slave - "Just A Touch Of Love" Sly & The Family Stone - There's A Riot Goin' On The Smiths - Hatful of Hollow Stan Kenton - The Ballad Style of Stan Kenton Steely Dan - Aja Steppenwolf - "Born to be Wild" Steve Miller Band - Fly Like an Eagle Stevie Wonder - Songs in the Key of Life - "I Just Called to Say I Love You" Sting - ...Nothing Like the Sun The Stone Roses - The Stone Roses Sugarhill Gang - "Rapper's Delight" Supertramp - Breakfast in America Sylvester - "Someone Like You" Talk Talk - "It's My Life" Talking Heads - Fear of Music - Remain in Light - Speaking in Tongues Tears For Fears - "Everybody Wants To Rule The World" Teegarden & Van Winkle - But Anyhow, Teegarden & Van Winkle Teenage Jesus And The Jerks - Teenage Jesus And The Jerks Three Dog Night - "One" Tom Jones - Live! At the Talk of the Town Tommy James & The Shondells -  Crimson & Clover Topaz - Topaz Tyrone Davis - I Can't Go On This Way Various - . Kiss FM Presents Shep Pettibone's Master Mixes - Selections From "Bloomer Girl" - "Take Me Out To The Ball Game / The Umpire // Casey At The Bat" - WOR FM .: Solid Gold - Disco Hustle - Flashdance (Original Soundtrack From The Motion Picture) - Thank God It's Friday (The Original Motion Picture Soundtrack) The Velvet Underground - The Velvet Underground - Loaded - Live At Max's Kansas City The Ventures - "Hawaii Five-O" Victor Young - Around the World in  Days Wang Chung - "Dance Hall Days" The Whispers - "And the Beat Goes On" The Who - Tommy - Odds & Sods Woody Herman And His Woodchoppers - Woody Herman And His Woodchoppers Yes - Tormato Test Pressings - * - * - *CassettesMichael Jackson - Off the Wall Pat Benatar - Get Nervous Talking Heads - Talking Heads:  - Speaking in TonguesCDsThe Beatles - The Beatles In Mono Bob Dylan - Highway  Revisited Creedence Clearwater Revival - Chronicle (The  Greatest Hits) The Doors - The Best of the Doors  - The Best of the Doors Green Day - Dookie - nimrod. Alanis Morissette - Jagged Little Pill Nirvana - IN UTERO Pixies - TROMPE LE MONDE Lou Reed - Rock N Roll Animal Pink Floyd - Atom Heart Mother The Rolling Stones - Sticky Fingers - Hot Rocks  -  - Goats Head Soup - Rewind (-) - Steel Wheels Sade - Diamond Life - Promise Smashing Pumpkins - Siamese Dream Various - EMI Music Resources: The Standards (Volume ) - wfuv . New Names New Music The Velvet Underground - The Velvet Underground & Nico - The Velvet Underground - VU
1970	"Spinning Wheel"	Blood, Sweat & Tears	Unknown	What goes up must come down Spinnin' wheel got to go 'round Talkin' 'bout your troubles it's a cryin' sin Ride a painted pony let the spinnin' wheel spin  You got no money and you got no home Spinnin' wheel all alone Talkin' 'bout your troubles and you never learn Ride a painted pony let the spinnin' wheel turn  Did you find the directing sign on the Straight and narrow highway Would you mind a reflecting sign Just let it shine within your mind And show you the colors that are real  Someone is waiting just for you Spinnin' wheel, spinnin' true Drop all your troubles by the riverside Catch a painted pony on the spinning wheel ride  Someone is waiting just for you Spinnin' wheel, spinnin' true Drop all your troubles by the riverside Ride a painted pony let the spinning wheel fly 
1971	"Bridge over Troubled Water"	Simon & Garfunkel	Male	When you're weary Feeling small When tears are in your eyes I will dry them all I'm on your side When times get rough And friends just can't be found  Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down  When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part When darkness comes And pain is all around  Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down Sail on Silver Girl Sail on by Your time has come to shine All your dreams are on their way See how they shine, oh If you need a friend I'm sailing right behind  Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind
1971	"(They Long to Be) Close to You"	The Carpenters	Unknown	(Presenta di grand circo La prima del mondo La grand successo Giuliano di Vittorio Fantastico Magnifico Spectaculario) (Here Alice ventured to interrupt "It's very long," she said as politely as she could "Would you tell me first which road?" Tweedledum smiled gently and began again)  The sun was shining on the sea Shining with all his might He did his very best to make The billows smooth and bright And this was odd, because it was The middle of the night  The moon was shining sulkily Because she thought the sun Had got no business to be there After the day was done "It's very rude of him," she said "To come and spoil the fun" The sea was wet as wet could be The sands were dry as dry You could not see a cloud because No cloud was in the sky No birds were flying o'erhead There were no birds to fly  The Walrus and the Carpenter Were walking close at hand They wept like anything to see Such quantities of sand "If this were only cleared away They said, "It would be grand"  "If seven maids with seven mops Swept it for half a year Do you suppose," the Walrus said "That they could get it clear?" "I doubt it," said the Carpenter And shed a bitter tear  "O, Oysters, come and walk with us" The Walrus did beseech "A pleasant walk, a pleasant talk Along the briny beach We cannot do with more than four To give a hand to each" The eldest Oyster looked at him But never a word he said The eldest Oyster winked his eye And shook his heavy head Meaning to say he did not choose To leave the oyster bed  (Alright? You ready? Okay A-one, a-two, a-one, two, three, four But four young Oysters hurried up All eager for the treat A four young ... you gotta use the chord ... oh 'Cause you gotta go clang One, two ... okay ...clang ...  okay A-one, a-two, a-one, two, three, four)  But four young Oysters hurried up All eager for their treat Their coats were brushed, their faces washed Their shoes were clean and neat And this was odd because, you know They hadn't any feet Four other Oysters followed them And yet another four And thick and fast they came at last And more, and more, and more All hopping through the frothy waves And scrambling to the shore  The Walrus and the Carpenter Walked on a mile or so And then they rested on a rock Conveniently low And all the little Oysters stood And waited in a row  "The time has come," the Walrus said "To talk of many things Of shoes, and ships and sealing wax Of cabbages and kings And why the sea is boiling hot And whether pigs have wings"  (But wait a bit It's alight, we'll let you start But wait a bit Ah, c'mon, get it together, man C'mon One, two, three)  "But wait a bit," the Oysters cried "Before we have our chat For some of us are out of breath And all of us are fat" "No hurry," said the Carpenter They thanked him much for that  "A loaf of bread," the Walrus said "Is what we chiefly need Pepper and vinegar besides Are very good indeed Now, if you're ready, Oysters dear We can begin to feed"  "Not on us," the Oysters cried Turning a little blue "After such kindness that would be A dismal thing to do" "The night is fine," the Walrus said "Do you admire the view?"  "It was so kind of you to come And you are very nice" The Carpenter said nothing but "Cut us another slice I wish you were not quite so deaf I've had to ask you twice"  "It seems a shame," the Walrus said "To play them such a trick After we've brought them out so far And made them trot so quick" The Carpenter said nothing but "The butter's spread too thick"  "I weep for you," the Walrus said "I deeply sympathize" With sobs and tears he sorted out Those of the largest size Holding his pocket handkerchief Before his streaming eyes  "O, Oysters," said the Carpenter "You've had a pleasant run Shall we be trotting home again?" But answer came there none And this was scarcely odd because They'd eaten every one They'd eaten every one
1971	"Everything Is Beautiful"	Ray Stevens	Male	Jesus loves the little children All the little children of the world Red and yellow, black and white They are precious in his sight Jesus loves the little children of the world Everything is beautiful In its' own way Like a starry summer night Or a snow covered winter's day Everybody's beautiful In their own way Under God's heaven The world's gonna find a way  There is none so blind That is he who will not see We must not close our minds We must let our thought be free For every hour that passes by You know the world Gets a little bit older It's time to realize That beauty lies In the eyes of the beholder Everything is beautiful In its' own way Like a starry summer nights Or a snow covered winter's day Ah, sing it, children Everybody's beautiful In their own way Under God's heaven The world's gonna find a way  We shouldn't care About the length of his hair Or the color of his skin Don't worry about what shows from without But the love that lives within We're gonna get it all together now Everything gonna work out fine Just take a little time To look on the good side my friend And straighten it out in your mind  Everything is beautiful In its' own way Like a starry summer nights Or a snow covered winter's day Ah, sing it, children Everybody's beautiful In their own way Under God's heaven The world's gonna find a way One more time Everything is beautiful In its' own way Like a starry summer nights
1971	"Fire and Rain"	James Taylor	Male	Just yesterday morning, they let me know you were gone Suzanne, the plans they made put an end to you I walked out this morning and I wrote down this song I just can't remember who to send it to  I've seen fire and I've seen rain I've seen sunny days that I thought would never end I've seen lonely times when I could not find a friend But I always thought that I'd see you again  Won't you look down upon me, Jesus You've got to help me make a stand You've just got to see me through another day My body's aching and my time is at hand And I won't make it any other way  Oh, I've seen fire and I've seen rain I've seen sunny days that I thought would never end I've seen lonely times when I could not find a friend But I always thought that I'd see you again  Been walking my mind to an easy time, my back turned towards the sun Lord knows when the cold wind blows it'll turn your head around Well, there's hours of time on the telephone line to talk about things to come Sweet dreams and flying machines in pieces on the ground Oh, I've seen fire and I've seen rain I've seen sunny days that I thought would never end I've seen lonely times when I could not find a friend But I always thought that I'd see you baby, one more time again, now  Thought I'd see you one more time again There's just a few things coming my way this time around, now Thought I'd see you, thought I'd see you, fire and rain, now
1971	"Let It Be"	The Beatles	Unknown	[]
1972	"It's Too Late"	Carole King	Female	Stayed in bed all morning just to pass the time There's something wrong here, there can be no denying One of us is changing Or maybe we just stopped trying  And it's too late, baby, now it's too late Though we really did try to make it Something inside has died And I can't hide and I just can't fake it Oh no no no no (no no, no no)  It used to be so easy living here with you You were light and breezy and I knew just what to do Now you look so unhappy and I feel like a fool  And it's too late, baby, now it's too late Though we really did try to make it (we can't make it) Something inside has died And I can't hide and I just can't fake it Ohhhh, nooo no {Instrumental} (Do do do do do do do do doooo do dooooo dahhhhh) There'll be good times again for me and you But we just can't stay together, don't you feel it, too Still I'm glad for what we had and how I once loved you  But it's too late, baby, now it's too late Though we really did try to make it (we can't make it) Something inside has died and I can't hide And I just can't fake it Ohhhh, nooo no no no no  It's too late, baby It's too late, now darlin' It's too late
1972	"Joy to the World"	Three Dog Night	Unknown	Jeremiah was a bullfrog Was a good friend of mine I never understood a single word he said But I helped him a-drink his wine And he always had some mighty fine wine Singin'  Joy to the world All the boys and girls, now Joy to the fishes in the deep blue sea Joy to you and me  If I were the king of the world Tell you what I'd do I'd throw away the cars and the bars and the wars Make sweet love to you Sing it now  (Joy) to the world (All) the boys and girls Joy to the fishes in the deep blue sea (Joy to you and me) You know I love the ladies Love to have my fun I'm a high night flier and a rainbow rider (ha ha ha) And a straight-shooting son of a gun (alright) I said a straight shootin' (son of a gun)  (Joy to the world) (All the boys and girls) (Joy to the fishes in the deep blue sea) (Joy to you and me)  (Joy to the world) (All the boys and girls) (Joy to the fishes in the deep blue sea) (Joy to you and me)  (Joy to the world) (All the boys and girls) (Joy to the world) (Joy to you and me)  (Joy to the world) (All the boys and girls) now (Joy to the fishes in the deep blue sea) (Joy to you and me) Ahhhh yeah! (Joy to the world) yeah YEAH! (All the boys and girls) Yowwwww (Joy to the fishes in the deep blue sea) (Joy to you and me) You know I mean to  (Joy to the world) Yeah! Yeah! (All the boys and girls) (Joy to the fishes in the deep blue sea) (Joy to you and me) You know I mean to  (Joy to the world) You know I mean to (All the boys and girls) Yeah yeah (Joy to the fishes in the deep blue sea) (Joy to you and me) Wahhh yeah  (Joy to the world) Let me tell ya 'bout it (All the boys and girls)
1972	"My Sweet Lord"	George Harrison	Male	My sweet Lord Mmm, my Lord Mmm, my Lord  I really wanna see you Really wanna be with you Really wanna see you, Lord But it takes so long, my Lord  My sweet Lord Mmm, my Lord Mmm, my Lord  I really wanna know you I'd really wanna go with you I really wanna show you, Lord That it won't take long, my Lord  (Hallelujah) My sweet Lord (Hallelujah) Mmm, my Lord (Hallelujah) My sweet Lord (Hallelujah) I really wanna see you Really wanna see you Really wanna see you, Lord Really wanna see you, Lord But it takes so long, my Lord  (Hallelujah) My sweet Lord (Hallelujah) Mmm, my Lord (Hallelujah) My, my, my Lord (Hallelujah)  I really wanna know you (Hallelujah) Really wanna go with you (Hallelujah) I really wanna show you, Lord That it won't take long, my Lord  (Hallelujah) Mmmmm (Hallelujah) My sweet Lord (Hallelujah) My, my Lord (Hallelujah)  Mmm, my Lord (Hare Krishna) My, my, my Lord (Hare Krishna) Oh, oh, my sweet Lord (Krishna Krishna) Ooh (Hare Hare)  Now, I really wanna see you (Hare Rama) Really wanna be with you (Hare Rama) Really wanna see you, Lord But it takes so long, my Lord  (Hallelujah) Mmm, my Lord (Hallelujah) My, my, my Lord (Hare Krishna) My, my sweet Lord (Hare Krishna)  My sweet Lord (Krishna Krishna) Ah, oh, my Lord (Hare Hare) Mmmmm (Gurur Brahma) Mmmmm (Gurur Vishnu) Mmmmm (Gurur Devo) Mmmmm (Maheshwara) My sweet Lord (Gurur Sakshaat) My sweet Lord (Para Brahma) My, my, my Lord (Tasmayi Shree) My, my, my, my Lord (Guruve Namah) My, my sweet Lord (Hare Rama) (Hare Krishna) My sweet Lord (Hare Krishna) My, my sweet Lord (Krishna Krishna) My, my sweet Lord (Hare Hare)
1972	"Theme from Shaft"	Isaac Hayes	Male	Who's the black private dick that's a sex machine to all the chicks? (Shaft) Ya damn right  Who is the man that would risk his neck for his brother man? (Shaft) Can you dig it?  Who's the cat that won't cop out when there's danger all about? (Shaft) Right on  They say this cat Shaft is a bad mother... (Shut your mouth) I'm talkin' 'bout Shaft (Then we can dig it)  He's a complicated man But no one understands him but his woman (John Shaft)
1972	"You've Got a Friend"	James Taylor	Male	And you need a helping hand And nothing, whoa, nothing is going right Close your eyes and think of me And soon I will be there To brighten up even your darkest nights You just call out my name And you know wherever I am I'll come running oh yeah baby To see you again Winter, spring, summer, or fall All you got to do is call And I'll be there, yeah, yeah yeah You've got a friend If the sky above you Should turn dark and full of clouds And that old north wind Should begin to blow Keep your head together And call my name out loud now Soon I be knocking Upon your door You just call out my name And you know where ever I am I'll come running oh yes I will To see you again Winter, spring, summer, or fall yeah All you got to do is call And I'll be there, yeah yeah yeah Hey, ain't it good to know That you've got a friend? People can be so cold They'll hurt you And desert you Well, they'll take your soul If you let them Oh yeah, but don't you let them You just call out my name And you know wherever I am I'll come running To see you again, oh baby don't you know 'bout Winter, spring, summer, or fall Ain't now all you got to do is call Lord, I'll be there, yes I will You've got a friend You've got a friend, yes Ain't it good to know You've got a friend Ain't it good to know You've got a friend Oh yeah yeah You've got a friend
1973	"The First Time Ever I Saw Your Face"	Roberta Flack	Female	Yo It's eFFeX Guess I'm the virus I'm the cancer Just no good for you Telling me to stay away Never that Could never Never ever ever never never ever  This is the life that I fight for You are the one that I die for I'm not giving up, on you on us See me I'm gonna try more More than I did in the past time Them whores you know they dont last long After the cash A dick in they ass And I'm kicking them fast to the sidewalk and I'm gone I'm gone My life it is moving along 'Cause once we met our eyes they locked No regrets, can't stop it, my lord, oh no Oh no Everybody voicing opinions They minions Disagree with me for you it's true And you know they could suck a big one A big one A motherfucking big one They treating you like a victim of the diction That I spit when I get my sights on Something that could flip my lights on Someone to bring home to my mom and my dad I like that Wanna try some Not giving a fuck about what they say Dont give a fuck whats in my way I'm a take that chick on her wedding day Get away and see better days From Hamburg JFK to Frankfurt To NJ I'm a stand firm when they all say I'm a cancer Stay away I do it for you (yeah I do it for you) It's all for you (yeah it's all for you) All I do (all I do, all I do) It's all for you (you, for you) It's true It's all for you (yeah it's all for you) You're all I knew (you're all I knew) Yes it's true (yes its true, yes its true) All I do (all I do, yeah I do) I do I do for you Do it for you (yeah) Yeah it's all for you (yeah) All I do, all I do For you, for you  This is the path that I chose This my life This how it goes I tried to do right with two in sight Met you that night and heaven knows You're everything I ever looked for Every box on my list you can cross off We a perfect match Ever heard of that? Roberta Flack she spot on The first time The first time Saw your face it paused time Radically was attracting me and I can't believe you're all mine All mine, oh my Everybody is warning you of my story But you can afford to to turn and ignore 'Cause you already know that you were made just for me For me You were made just for me Fucked up my life Searching for a wife You turned it all right when you called me You had your own life with a man and a crib Had a career Handled your shit You tore it all down Dismantled it quick Once you saw what happiness is Broke it apart Started anew Time to restart and depart into blue Making it hard Harder for you Can't disregard what the heart is into Partial to you Stand at your side Either get with us or tell us good bye Advising against me but they gonna find They'll be eating their words while you and me fly I do it for you (yeah I do it for you) It's all for you (yeah it's all for you) All I do (all I do, all I do) It's all for you (you, for you) It's true It's all for you (yeah it's all for you) You're all I knew (you're all I knew) Yes it's true (yes its true, yes its true) All I do (all I do, yeah I do) I do I do for you
1973	"Alone Again (Naturally)"	Gilbert O'Sullivan	Male	In a little while from now If I'm not feeling any less sour I promised myself to treat myself And visit a nearby tower And climbing to the top Will throw myself off In an effort to make it clear to whoever What it's like when you're shattered Left standing in the lurch, at a church Where people saying "My God that's tough, she stood him up No point in us remaining" "We may as well go home" As I did on my own Alone again, naturally  To think that only yesterday I was cheerful, bright and gay Looking forward to, but who wouldn't do The role I was about to play But as if to knock me down Reality came around And without so much as a mere touch Cut me into little pieces Leaving me to doubt All about God and His mercy For if He really does exist Why did He desert me In my hour of need? I truly am indeed Alone again, naturally  It seems to me that There are more hearts Broken in the world That can't be mended Left unattended What do we do? What do we do?  Alone again, naturally Now looking back over the years And what ever else that appears I remember I cried when my father died Never wishing to hide the tears And at sixty-five years old My mother, God rest her soul Couldn't understand, why the only man She had ever loved had been taken Leaving her to start with a heart So badly broken Despite encouragement from me No words were ever spoken And when she passed away I cried and cried all day Alone again, naturally Alone again, naturally
